Title	Creator	Language	Contributor	Type	Form	Genre	Subject	OriginPlace	Identifier	DateNote	Date1Code	Date2Code	Location	BoxFolder	Collection	Series	Subseries	CreatorType	CreatorRole	ContributorType	ContributorRole	SubjectType	Publisher	Extent	Notes
Board of Education Public Lecture Notices, 1922-1924 : ten pamphlets [Hubert H. Harrison lecturer]	New York (N.Y.). Board of Education	German	Harrison, Hubert H..	text	pamphlets			New York, N.Y.	hubert_h_harrison_papers_264	1922-1924	1922	1924	Mathematics Library, Columbia University	Box 16, Folder 8	Hubert H. Harrison papers	Series VIII: Printed material	Sub-series 8.1: Broadsides, pamphlets, invitations, programs, etc.	corporate	Issuing body	personal	Contributor			2 pages	1 original, 2 photocopies, originals and other 8 pamphlets in scrapbook Public Notices, Records and References Vol. 2: The Upward Climb, loose and p. 8, 9, 13, 17
Call of Africa, undated : broadside and greeting card with poem from Bishop and Mrs. C. C. Alleyne	Alleyne, Cameron Chesterfield, 1880-	English		text	printed ephemera	poems;broadsides (notices);greeting cards	Africa	Brooklyn, New York	hubert_h_harrison_papers_265	1893-1927	1893	1927	Science & Engineering Library, Columbia University	Box 16, Folder 9	Hubert H. Harrison papers	Series VIII: Printed material	Sub-series 8.1: Broadsides, pamphlets, invitations, programs, etc.	personal	Author			geographic		1 sheet + 1 greeting card	Date inferred from inclusive dates of archival collection
Colored Heroes of the Faith, 17 December 1922 : pamphlet [souvenir program St. Benedict's Rectory]	St. Benedict's Church (New York, N.Y.)	English		text	pamphlets	souvenir programs		New York, N.Y.?	hubert_h_harrison_papers_266	17 December 1922	12/17/1922		Social Work Library, Columbia University	Box 16, Folder 11	Hubert H. Harrison papers	Series VIII: Printed material	Sub-series 8.1: Broadsides, pamphlets, invitations, programs, etc.	corporate	Issuing body					6 pages	With note
Colored Voters Can You Forget, circa 1924 : pamphlet [campaign literature for Royal Weller against Emanuel Hertz]		English		text	pamphlets		Voting;African Americans;Weller, Royal Hurlburt, 1881-1929;Hertz, Emanuel, 1870-1940	New York, N.Y.?	hubert_h_harrison_papers_267	circa 1924	1924		Teachers College Library	Box 16, Folder 12	Hubert H. Harrison papers	Series VIII: Printed material	Sub-series 8.1: Broadsides, pamphlets, invitations, programs, etc.					topical;topical;personal;personal		2 pages	
Educational Forum of The International Colored Unity League and Is There Any Cure for Lynching, circa 25 March 1927 : broadside	International Colored Unity League	German		Text	printed ephemera	broadsides (notices)	Lynching	Harlem, NYC	hubert_h_harrison_papers_268	circa 25 March 1927	03/25/1927		Rare Book & Manuscript Library, Columbia University	Box 16, Folder 14	Hubert H. Harrison papers	Series VIII: Printed material	Sub-series 8.1: Broadsides, pamphlets, invitations, programs, etc.	corporate	Issuing body			topical		1 sheet (2 pages)	
For Your Protection Use Petrie Ring Whistle : advertisement, undated : broadside		English		text	printed ephemera	advertisements;broadsides (notices);notes (documents)	Whistles	New York, N.Y.?	hubert_h_harrison_papers_270	1893-1927	1893	1927	Rare Book & Manuscript Library, Columbia University	Box 16, Folder 16	Hubert H. Harrison papers	Series VIII: Printed material	Sub-series 8.1: Broadsides, pamphlets, invitations, programs, etc.					topical		1 sheet (2 pages)	Date inferred from inclusive dates of archival collection
Grand Concert Given by the Ways and Means Committee, 10 September 1921 : broadside		English		text	printed ephemera	broadsides (notices)	United States. Congress. House. Committee on Ways and Means	New York, N.Y.?	hubert_h_harrison_papers_273	10 September 1921	09/10/1921		Rare Book & Manuscript Library, Columbia University	Box 16, Folder 19	Hubert H. Harrison papers	Series VIII: Printed material	Sub-series 8.1: Broadsides, pamphlets, invitations, programs, etc.					corporate		1 sheet (2 pages)	
Hubert H. Harrison, undated : calling card	Harrison, Hubert H.	English		text  	printed ephemera	visiting cards	Harrison, Hubert H.	Harlem, N.Y.	hubert_h_harrison_papers_274	1893-1927	1893	1927	Barnard College Library	Box 16, Folder 20	Hubert H. Harrison papers	Series VIII: Printed material	Sub-series 8.1: Broadsides, pamphlets, invitations, programs, etc.	personal	Author			personal		1 sheet	Date inferred from inclusive dates of archival collection
Hubert Harrison Memorial Church, 20 May 1928 : broadside	Hubert Harrison Memorial Church (New York, N.Y.)	French		text.	printed ephemera	broadsides (notices)	Church buildings;Hubert Harrison Memorial Church (New York, N.Y.);Harrison, Hubert H.;New York (N.Y.)	New York City, N.Y.	hubert_h_harrison_papers_275	20 May 1928	05/20/1928		Burke Library at Union Theological Seminary, Columbia University	Box 16, Folder 21	Hubert H. Harrison papers	Series VIII: Printed material	Sub-series 8.1: Broadsides, pamphlets, invitations, programs, etc.	corporate	Issuing body			topical;corporate;personal;geographic		1 sheet	
International Colored Unity League, undated : letterhead [President and National Organizer: Dr. Hubert H. Harrison]	International Colored Unity League	English		text	printed ephemera	letterheads		NYC	hubert_h_harrison_papers_280	1893-1927	1893	1927	Butler Library, Columbia University	Box 16, Folder 23	Hubert H. Harrison papers	Series VIII: Printed material	Sub-series 8.1: Broadsides, pamphlets, invitations, programs, etc.	corporate	Issuing body					1 sheet	2 copies;Date inferred from inclusive dates of archival collection
Joint Recital for the Benefit of the Hubert Harrison Memorial Church, 24 May 1931 : broadside	Hubert Harrison Memorial Church (New York, N.Y.)	Spanish		t@!xt	printed ephemera	broadsides (notices)	Concerts;Hubert Harrison Memorial Church (New York, N.Y.);New York (N.Y.)	Harlem, NY	hubert_h_harrison_papers_281	24 May 1931	05/24/1931		C.V. Starr East Asian Library, Columbia University	Box 16, Folder 24	Hubert H. Harrison papers	Series VIII: Printed material	Sub-series 8.1: Broadsides, pamphlets, invitations, programs, etc.	corporate	Issuing body			topical;corporate;geographic		1 sheet (2 pages)	
Latest Returns From The $20,000 Negro History Drive, 14 April 1927 : broadside		English		text	printed ephemera	broadsides (notices)	African Americans;History;Fund raising	New York, N.Y.?	hubert_h_harrison_papers_282	14 April 1927	04/14/1927		Gabe M. Weiner Music & Arts Library, Columbia University	Box 16, Folder 25	Hubert H. Harrison papers	Series VIII: Printed material	Sub-series 8.1: Broadsides, pamphlets, invitations, programs, etc.					topical;topical;topical		1 sheet	
Lenox Avenue Botanical Drugstore, undated : circular		English		text	printed ephemera	circulars (fliers)	Drugstores;Lenox Avenue Botanical Drugstore (New York, N.Y.);New York (N.Y.)	New York, N.Y.?	hubert_h_harrison_papers_283	1893-1927	1893	1927	Rare Book & Manuscript Library, Columbia University	Box 16, Folder 26	Hubert H. Harrison papers	Series VIII: Printed material	Sub-series 8.1: Broadsides, pamphlets, invitations, programs, etc.					topical;corporate;geographic		1 sheet (2 pages)	Date inferred from inclusive dates of archival collection
Liberia : a bulletin, 1923 : pamphlet		English		text	pamphlets		Liberia	New York, N.Y.?	hubert_h_harrison_papers_284	1923	1923		Rare Book & Manuscript Library, Columbia University	Box 16, Folder 27	Hubert H. Harrison papers	Series VIII: Printed material	Sub-series 8.1: Broadsides, pamphlets, invitations, programs, etc.					geographic		8 pages	
Marriage of Cluttil Simmons to William B. Ball Jr., 18 March 1951 : invitation		English		text	printed ephemera	invitations	Simmons, Cluttil;Ball, William B.		hubert_h_harrison_papers_285	18 March 1951	03/18/1951		Rare Book & Manuscript Library, Columbia University	Box 16, Folder 28	Hubert H. Harrison papers	Series VIII: Printed material	Sub-series 8.1: Broadsides, pamphlets, invitations, programs, etc.					personal;personal		1 item	
Mass Meeting of Colored Citizens, 17 October 1924 : broadside		English		text	printed ephemera	broadsides (notices)	African Americans;Meetings	New York, N.Y.?	hubert_h_harrison_papers_286	17 October 1924	10/17/1924		Rare Book & Manuscript Library, Columbia University	Box 16, Folder 29	Hubert H. Harrison papers	Series VIII: Printed material	Sub-series 8.1: Broadsides, pamphlets, invitations, programs, etc.					topical;topical		1 sheet	
Memorial Meeting for Hubert Harrison, 17 June 1928 : broadside		English		text	printed ephemera	broadsides (notices)	Death and burial of a person;Harrison, H. H.	New York, N.Y.?	hubert_h_harrison_papers_287	17 June 1928	06/17/1928		Rare Book & Manuscript Library, Columbia University	Box 16, Folder 30	Hubert H. Harrison papers	Series VIII: Printed material	Sub-series 8.1: Broadsides, pamphlets, invitations, programs, etc.					topical;personal		1 sheet	
Negro Traitors I Have Known, 21 March 1926 : broadside [found in biography of Herbert Spencer Vol. 2]		English		text	printed ephemera	broadsides (notices)	Blacks--Race identity;Duncan, David, 1839-1923. Life and letters of Herbert Spencer	New York, N.Y.?	hubert_h_harrison_papers_288	21 March 1926	03/21/1926		Rare Book & Manuscript Library, Columbia University	Box 16, Folder 31	Hubert H. Harrison papers	Series VIII: Printed material	Sub-series 8.1: Broadsides, pamphlets, invitations, programs, etc.					topical;title		1 sheet	Found in biography of Herbert Spencer Vol. 2
Night with the Converts and Admissions to Lane Tabernacle C.M.E. Church, 19 January 1925 : program	Lane Tabernacle C.M.E. Church (New York, N.Y.)	English		text	printed ephemera	programs (documents)	Methodist converts;Lane Tabernacle C.M.E. Church (New York, N.Y.)	Brooklyn, N.Y., N.Y.	hubert_h_harrison_papers_289	19 January 1925	01/19/1925		Rare Book & Manuscript Library, Columbia University	Box 16, Folder 32	Hubert H. Harrison papers	Series VIII: Printed material	Sub-series 8.1: Broadsides, pamphlets, invitations, programs, etc.	corporate	Issuing body			topical;corporate		2 pages	
Presentation of Frederick Douglass' Pen at New York Public Library, 31 March [no year] : invitation	New York Public Library	English		text	printed ephemera	invitations	Personal belongings;Douglass, Frederick, 1818-1895.;New York public library	New York, N.Y.?	hubert_h_harrison_papers_290	March 31 [1893?-1927?]	03/31/1893	03/31/1927	Rare Book & Manuscript Library, Columbia University	Box 16, Folder 34	Hubert H. Harrison papers	Series VIII: Printed material	Sub-series 8.1: Broadsides, pamphlets, invitations, programs, etc.	corporate	Issuing body			topical;personal;corporate		1 item	Date inferred from inclusive dates of archival collection
Private Instruction [by Hubert H. Harrison], undated : circular	Harrison, Hubert H.	English		  text	printed ephemera	circulars (fliers)	Tutors and tutoring;Harrison, Hubert H.	Harlem, New York, N.Y.	hubert_h_harrison_papers_291	1893-1927	1893	1927	Barnard College Library	Box 16, Folder 35	Hubert H. Harrison papers	Series VIII: Printed material	Sub-series 8.1: Broadsides, pamphlets, invitations, programs, etc.	personal	Author			topical;personal		1 sheet (2 pages)	Date inferred from inclusive dates of archival collection
Program of Free Public Lectures of the Board of Education, 1-8 October 1927 : broadside	New York (N.Y.). Board of Education	English		text	printed ephemera	broadsides (notices)	Lectures and lecturing	New York, N.Y.?	hubert_h_harrison_papers_292	October 1-8, 1927	10/01/1927	10/08/1927	Burke Library at Union Theological Seminary, Columbia University	Box 16, Folder 36	Hubert H. Harrison papers	Series VIII: Printed material	Sub-series 8.1: Broadsides, pamphlets, invitations, programs, etc.	corporate	Issuing body			topical		1 sheet	
Quartette of Hell : poem by Joe Simms, undated : broadside	Simms, Jos.	English		text	printed ephemera	broadsides (notices)			hubert_h_harrison_papers_293	1893-1927	1893	1927	Butler Library, Columbia University	Box 16, Folder 37	Hubert H. Harrison papers	Series VIII: Printed material	Sub-series 8.1: Broadsides, pamphlets, invitations, programs, etc.	personal	Author					1 sheet	Date inferred from inclusive dates of archival collection
Six Lectures on Sex, 17 March-22 April 1917 : broadside [Hubert H. Harrison lecturer]	Harrison, Hubert H.	English	Harrison, Hubert H..	Text	printed ephemera	broadsides (notices)	Sex;Lectures and lecturing	Harlem, New York City	hubert_h_harrison_papers_295	March 17-22 April 1917	03/17/1917	04/22/1917	C.V. Starr East Asian Library, Columbia University	Box 16, Folder 39	Hubert H. Harrison papers	Series VIII: Printed material	Sub-series 8.1: Broadsides, pamphlets, invitations, programs, etc.	personal	Contributor	personal	Contributor	topical;topical		1 sheet (2 pages)	Two copies, one original located in scrapbook Mainly About Me Vol. 1: The Radical and Racial Phases, page 20
Spring Dance given by the International Colored Unity League, 14 May 1927 : broadside	International Colored Unity League	English		text	printed ephemera	broadsides (notices)	Dance parties	Brooklyn, NYC	hubert_h_harrison_papers_296	14 May 1927	05/14/1927		Gabe M. Weiner Music & Arts Library, Columbia University	Box 16, Folder 40	Hubert H. Harrison papers	Series VIII: Printed material	Sub-series 8.1: Broadsides, pamphlets, invitations, programs, etc.	corporate	Issuing body			topical		1 sheet	5 copies
Stress the Sesqui, February 1926 : broadside [sent out by Mr. Monroe Trotter]	Trotter, William Monroe, 1872-1934	English		text	printed ephemera	broadsides (notices)	American Revolution Sesquicentennial (1926)	New York, N.Y.?	hubert_h_harrison_papers_297	February 1926	1926-02		Rare Book & Manuscript Library, Columbia University	Box 16, Folder 41	Hubert H. Harrison papers	Series VIII: Printed material	Sub-series 8.1: Broadsides, pamphlets, invitations, programs, etc.	personal	Contributor			topical		1 sheet	Sent out by Mr. Monroe Trotter
Sunrise Club Dining Society Notices, thirtieth Season, 1922-1923 : pamphlet [Hubert H. Harrison lecturer]	Sunrise Club (New York, N.Y.)	English	Harrison, Hubert H..	text	pamphlets		Lectures and lecturing	New York, N.Y.?	hubert_h_harrison_papers_298	1922-1923	1922	1923	Rare Book & Manuscript Library, Columbia University	Box 16, Folder 42	Hubert H. Harrison papers	Series VIII: Printed material	Sub-series 8.1: Broadsides, pamphlets, invitations, programs, etc.	corporate	Issuing body	personal	Contributor	topical		1 item (2 pages)	
Diary volume 1, 18 September 1907-1908; August 1923 : notebook and loose pages : autograph manuscript	Harrison, Hubert H.	English		txt	diaries	autographs (manuscripts);notebooks	African American political activists;African American authors;Harrison, Hubert H.	New York City	hubert_h_harrison_papers_337	18 September 1907-8 August 1923	09/18/1907	08/08/1923	Rare Book & Manuscript Library, Columbia University	Box 9, Folder 1	Hubert H. Harrison papers	Series IV: Diaries and scrapbooks	Sub-series 4.1: Daries	personal	Author			topical;topical;personal		1 item (204 pages)	
Diary volume 2, 1 November 1923-1930; August 1927 : notebook : autograph manuscript	Harrison, Hubert H.	French		rext	diaries	autographs (manuscripts);notebooks	African American political activistss;African American authors;Harrison, H. H.	Nyu-York	hubert_h_harrison_papers_338	1 November 1923-30 August 1927	11/01/1923	08/30/1927	Rare Book & Manuscript Library, Columbia University	Box 9, Folder 2	Hubert H. Harrison papers	Series IV: Diaries and scrapbooks	Sub-series 4.1: Daries	personal	Author			topical;topical;personal		1 item (36 pages)	
